Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Slovakia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
Slovenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01
Spain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,0.1,0.1,0.2,0.3,0.4,0.7,1.4,2.7,4.7,6.8,9.3,12.1,15.7,21.2,23.3,27.6,32.9,37.9,43.7,42.4,49.5,55.8,52.0,49.3,48.9,49.1,50.9,53.1,56.4,62.1,62.78,64.28,62.59
Sweden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.6,0.7,0.9,0.9,1.0,1.4,2.0,2.5,3.5,6.1,7.2,9.8,11.2,16.3,15.5,17.6,16.6,19.8,27.5,27.1,33.06,34.07,40.51
Switzerland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.15,0.17,0.17
Turkey,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,0.1,^,0.1,0.1,0.1,0.1,0.4,0.8,1.5,2.9,4.7,5.9,7.6,8.5,11.7,15.5,17.9,19.9,21.7,24.8,31.4,34.95,34.11,36.63
Ukraine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.3,0.6,1.1,1.1,1.0,1.0,1.2,2.0,3.3,3.8,1.42,0.94,0.25
United Kingdom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,0.2,0.3,0.4,0.5,0.7,0.9,0.9,0.9,1.0,1.3,1.3,1.9,2.9,4.2,5.3,7.1,9.3,10.3,16.0,19.8,28.4,32.0,40.3,37.2,49.6,56.9,63.8,75.6,64.9,80.54,82.31,84.06
Other Europe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.3,0.6,1.7,1.8,2.1,2.21,2.34,2.61
Total Europe,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,0.1,0.1,0.2,0.3,0.5,0.8,1.0,1.5,2.3,3.0,3.9,4.8,7.3,11.2,14.3,22.4,26.9,36.5,44.9,59.8,71.6,83.8,106.5,122.2,136.2,153.4,187.2,215.3,248.5,265.2,319.4,323.3,384.8,404.0,460.4,514.4,501.8,556.51,614.07,627.99
